AAAP, 4
Symbol,Date,Open,High,Low,Close,Volume
AAAP,07 Nov 2017,80.95,81.08,80.95,81,840800
AAAP,08 Nov 2017,80.95,81.1,80.93,80.93,405600
AAAP,09 Nov 2017,80.9,81,80.9,81,958100
AAAP,10 Nov 2017,80.94,81.1,80.94,80.98,322400
AAAP,13 Nov 2017,81,81.09,80.95,81.01,369800
AAAP,14 Nov 2017,81.02,81.06,80.96,81.01,732500
AAAP,15 Nov 2017,81.01,81.11,80.97,80.99,611100
AAAP,16 Nov 2017,81.08,81.42,80.98,81.24,255200
AAAP,17 Nov 2017,81.02,81.37,81.02,81.2,328600
AAAP,20 Nov 2017,81.15,81.27,81.11,81.16,296900
AAAP,21 Nov 2017,81.12,81.25,81.12,81.18,526300
AAAP,22 Nov 2017,81.1,81.25,81.1,81.2,280200
AAAP,23 Nov 2017,81.2,81.2,81.2,81.2,0
AAAP,24 Nov 2017,81.1,81.28,81.1,81.22,161000
AAAP,27 Nov 2017,81.25,81.35,81.2,81.35,313400
AAAP,28 Nov 2017,81.35,81.35,81.25,81.26,975200
AAAP,29 Nov 2017,81.3,81.35,81.29,81.3,628100
AAAP,30 Nov 2017,81.35,81.35,81.27,81.35,1401100
AAAP,01 Dec 2017,81.2,81.36,81.2,81.34,698100
AAAP,04 Dec 2017,81.25,81.75,81.24,81.27,335700
AAAP,05 Dec 2017,81.26,81.5,81.24,81.36,275600
AAAP,06 Dec 2017,81.4,81.5,81.36,81.46,818000
AAAP,07 Dec 2017,81.5,81.65,81.46,81.6,1082800
AAAP,08 Dec 2017,81.65,81.7,81.58,81.6,453500
AAAP,11 Dec 2017,81.64,81.74,81.57,81.61,546300
AAAP,12 Dec 2017,81.6,81.67,81.58,81.58,398100
AAAP,13 Dec 2017,81.57,81.74,81.5,81.7,557600
AAAP,14 Dec 2017,81.63,81.75,81.57,81.59,314200
AAAP,15 Dec 2017,81.63,81.74,81.52,81.53,480100
AAAP,18 Dec 2017,81.59,81.69,81.56,81.62,357700
AAAP,19 Dec 2017,81.55,81.68,81.52,81.56,562800
AAAP,20 Dec 2017,81.56,81.6,81.56,81.56,510600
AAAP,21 Dec 2017,81.58,81.65,81.57,81.65,408200
AAAP,22 Dec 2017,81.56,81.63,81.56,81.6,255800
AAAP,25 Dec 2017,81.6,81.6,81.6,81.6,0
AAAP,26 Dec 2017,81.6,81.63,81.58,81.59,303900
AAAP,27 Dec 2017,81.6,81.63,81.59,81.61,466600
AAAP,28 Dec 2017,81.6,81.63,81.59,81.62,594200
AAAP,29 Dec 2017,81.63,81.65,81.6,81.62,564400
AAAP,02 Jan 2018,81.61,81.84,81.61,81.83,582800
AAAP,03 Jan 2018,81.76,81.79,81.7,81.77,80600
AAAP,04 Jan 2018,81.73,81.8,81.65,81.65,423600
